//Source Element Type,Source ST filter,Target Element Type,Target ST Filter,Diagram Filter,New Element Type,New Element ST,New Link Type,New Link ST,New Link Direction,New Link Caption,New Link + Element Caption,Create Link,Create Element,Disallow Self connector,Exclusive to ST Filter + No inherit from metatype,Menu Group,Complexity Level,Target Must Be Parent,Embed element,Precedes Separator LEAF,Precedes Separator GROUP,DUMMY
Class,dRequirement,,,,Class,dGoal,Association,isDetailedBy,to,,Details Goal,1,1,1,1,DAF,0,,,,1,0
Node,dDeploymentNode,,,,Class,dLocation,Aggregation,Hostedin,to,,Hosted in Location,1,1,1,1,DAF,0,,,,1,0
Class,dMeasurementCategory,,,,Class,dMeasurementArea,Aggregation,Partof,to,,Part of Measurement Area,1,1,1,1,DAF,0,,,,1,0
Class,dMeasurementGrouping,,,,Class,dMeasurementCategory,Aggregation,Partof,to,,Part of Measurement Category,1,1,1,1,DAF,0,,,,1,0
Class,dMeasurementIndicator,,,,Class,dMeasurementGrouping,Aggregation,Partof,to,,Part of Measurement Group,1,1,1,1,DAF,0,,,,1,0
Class,dCapability,,,,Class,dMeasurementIndicator,Dependency,MeasuredBy,to,,Measured by indicator,1,1,1,1,DAF,0,,,,1,0
Component,dApplicationComponent,,,,Class,dDeploymentNode,Aggregation,Hosts,to,,Hosted in Node,1,1,1,1,DAF,0,,,,1,0
Class,dDecision,,,,Class,dPrinciple,Association,RefersTo,to,,Refers to Principle,1,1,1,1,DAF,0,,,,1,0
Class,dAssumption,,,,Class,dRequirement,Association,ImprovesQualityof,to,,Improves Quality of Requirement,1,1,1,1,DAF,0,,,,1,0
Class,dFeature,,,,Class,dRequirement,Realization,IsSatisfiedBy,to,,Satisifed by Requirement,1,1,1,1,DAF,0,,,,1,0
Class,dIssue,,,,Class,dRequirement,Association,Stops,to,,Stops Requirement,1,1,1,1,DAF,0,,,,1,0
Class,dController,,,,Class,dView,Association,Governs,to,,Governs View,1,1,1,1,DAF,0,,,,1,0
Component,dApplicationComponent,,,,Component,dApplicationComponent,Aggregation,Partof,to,,Part of Application Component,1,1,1,1,DAF,0,,,,1,0
Activity,dBusinessService,,,,Component,dLogicalAppComponent,Association,Runson,to,,Runs on Component,1,1,1,1,DAF,0,,,,1,0
Component,dApplicationComponent,,,,Component,dLogicalAppComponent,Realization,Realises,to,,Realises Logical Application Component,1,1,1,1,DAF,0,,,,1,0
Activity,dInitiative,,,,Package,dGrowthPackage,Aggregation,Creates,to,,Create Growth Package,1,1,1,1,DAF,0,,,,1,0
Actor,dActor,,,,UseCase,dBusinessUseCase,Association,Participatesin,to,,Participates in Use Case,1,1,1,1,DAF,0,,,,1,0
Class,dController,,,,UseCase,dBusinessUseCase,Realization,IsImplementedBy,to,,Implements Use Case,1,1,1,1,DAF,0,,,,1,0
UseCase,dBusinessUseCase,,,,Activity,dBusinessService,Realization,IsDescribedBy,to,,Describes Business Service,1,1,1,1,DAF,0,,,,1,0
Activity,dActivity,,,,Class,dDataEntity,Association,UsedBy,from,,Uses Data Entity,1,1,1,1,DAF,0,,,,1,0
Activity,dBusinessProcess,,,,Activity,dActivity,Aggregation,PartOf,from,,Part of Activity,1,1,1,1,DAF,0,,,,1,0
Activity,dBusinessProcess,,,,Activity,dBusinessService,Aggregation,Orchestrates,from,,Part of Business Service,1,1,1,1,DAF,0,,,,1,0
Activity,dBusinessProcess,,,,Actor,dRole,Association,CarriesOut,from,,Provides Role,1,1,1,1,DAF,0,,,,1,0
Activity,dBusinessService,,,,Actor,dRole,Association,Consumes,from,,Provides Role,1,1,1,1,DAF,0,,,,1,0
Actor,dOrganizationUnit,,,,Actor,dRole,Aggregation,AreOrganizedWithin,from,,Uses Role,1,1,1,1,DAF,0,,,,1,0
Actor,dRole,,,,Actor,dActor,Realization,IsPerformedBy,from,,Create Actor,1,1,1,1,DAF,0,,,,1,0
Class,dCapability,,,,Activity,dBusinessProcess,Aggregation,Ensuresoperationof,from,,Has Process,1,1,1,1,DAF,0,,,,1,0
Class,dCapability,,,,Activity,dInitiative,Realization,IncreasesMaturityOf,from,,Uses Initiative,1,1,1,1,DAF,0,,,,1,0
Class,dCapability,,,,Actor,dRole,Aggregation,Executes,from,,Uses Role,1,1,1,1,DAF,0,,,,1,0
Class,dCapability,,,,Class,dLocation,Aggregation,Supports,from,,Part of Location,1,1,1,1,DAF,0,,,,1,0
Class,dCapability,,,,Component,dLogicalAppComponent,Aggregation,Supports,from,,Part of Application Component,1,1,1,1,DAF,0,,,,1,0
Class,dDecision,,,,Activity,dInitiative,Association,IsMakingUseOf,from,,Make use of Initiative,1,1,1,1,DAF,0,,,,1,0
Class,dGoal,,,,Class,dCapability,Realization,Realizes Goal,from,,Realizes Goal,1,1,1,1,DAF,0,,,,1,0
Class,dGoal,,,,Class,dRequirement,Association,isDetailedBy,from,,Used by Requirement,1,1,1,1,DAF,0,,,,1,0
Class,dLocation,,,,Node,dDeploymentNode,Aggregation,Hostedin,from,,Hosted in Node,1,1,1,1,DAF,0,,,,1,0
Class,dMeasurementArea,,,,Class,dMeasurementCategory,Aggregation,Partof,from,,Has Measurement Category,1,1,1,1,DAF,0,,,,1,0
Class,dMeasurementCategory,,,,Class,dMeasurementGrouping,Aggregation,Partof,from,,Hase Measurement Grouping,1,1,1,1,DAF,0,,,,1,0
Class,dMeasurementGrouping,,,,Class,dMeasurementIndicator,Aggregation,Partof,from,,Has Measurement Indicator,1,1,1,1,DAF,0,,,,1,0
Class,dMeasurementIndicator,,,,Class,dCapability,Dependency,MeasuredBy,from,,Measures Capability,1,1,1,1,DAF,0,,,,1,0
Node,dDeploymentNode,,,,Component,dApplicationComponent,Aggregation,Hosts,from,,Hosts Application Component,1,1,1,1,DAF,0,,,,1,0
Class,dPrinciple,,,,Class,dDecision,Association,RefersTo,from,,Used for Decision,1,1,1,1,DAF,0,,,,1,0
Class,dRequirement,,,,Class,dAssumption,Association,ImprovesQualityof,from,,Has Assumption,1,1,1,1,DAF,0,,,,1,0
Class,dRequirement,,,,Class,dFeature,Realization,IsSatisfiedBy,from,,Achieve Feature,1,1,1,1,DAF,0,,,,1,0
Class,dRequirement,,,,Class,dIssue,Association,Stops,from,,Has Issue,1,1,1,1,DAF,0,,,,1,0
Class,dView,,,,Class,dController,Association,Governs,from,,Controlled by Controller,1,1,1,1,DAF,0,,,,1,0
Component,dApplicationComponent,,,,Component,dApplicationComponent,Aggregation,Partof,from,,Has Application Component,1,1,1,1,DAF,0,,,,1,0
Component,dLogicalAppComponent,,,,Activity,dBusinessService,Association,Runson,from,,Helps Business Service,1,1,1,1,DAF,0,,,,1,0
Component,dLogicalAppComponent,,,,Component,dApplicationComponent,Realization,Realises,from,,Achieves Application Component,1,1,1,1,DAF,0,,,,1,0
Component,dLogicalAppComponent,,,,Component,dLogicalAppComponent,Realization,Realises,from,,Realises Logical Application Component,1,1,1,1,DAF,0,,,,1,0
Package,dGrowthPackage,,,,Activity,dInitiative,Aggregation,Creates,from,,Has Initiative,1,1,1,1,DAF,0,,,,1,0
Package,dGrowthPackage,,,,Package,dProgram,Aggregation,Creates,from,,Organized in Program,1,1,1,1,DAF,0,,,,1,0
UseCase,dBusinessUseCase,,,,Actor,dActor,Association,Participatesin,from,,Used by Actor,1,1,1,1,DAF,0,,,,1,0
UseCase,dBusinessUseCase,,,,Class,dController,Realization,IsImplementedBy,from,,Used by Controller,1,1,1,1,DAF,0,,,,1,0
Activity,dBusinessService,,,,UseCase,dBusinessUseCase,Realization,IsDescribedBy,from,,Used by Business Use Case,1,1,1,1,DAF,0,,,,1,0
Class,dModelClass,,,,Class,dDataEntity,Realization,IsFunctionallyImplementedBy,to,,Functionally Implemented By,1,1,1,1,DAF,0,,,,1,0
Class,dModelClass,,,,Class,dTable,Association,ProvidesPersistenceTo,to,,Provides Persistence To,1,1,1,1,DAF,0,,,,1,0
Class,dModelClass,,,,Class,dController,Association,Controlls,to,,Controls Model Class,1,1,1,1,DAF,0,,,,1,0
Class,dDataEntity,,,,Class,dModelClass,Realization,IsFunctionallyImplementedBy,from,,Functionally Implemented By,1,1,1,1,DAF,0,,,,1,0
Class,dTable,,,,Class,dModelClass,Association,ProvidesPersistenceFor,to,,Provides Persistence For,1,1,1,1,DAF,0,,,,1,0
Class,dTable,,,,Class,dDataEntity,Realization,Realises,to,,Realizes Data Entity,1,1,1,1,DAF,0,,,,1,0
Class,dDataEntity,,,,Class,dTable,Realization,IsFunctionallyImplementedBy,from,,Implemented by Table,1,1,1,1,DAF,0,,,,1,0
Class,dController,,,,Class,dModelClass,Association,Controlls,to,,Controls Model Class,1,1,1,1,DAF,0,,,,1,0
Component,dApplicationComponent,,,,Component,dPhysicalService,Association,ExposesOrConsumes,to,,Consumes Physical service,1,1,1,1,DAF,0,,,,1,0
Component,dPhysicalService,,,,Component,dApplicationComponent,Association,ExposesOrConsumes,to,,Exposes Aplication Component,1,1,1,1,DAF,0,,,,1,0
Activity,dBusinessService,,,,Component,dPhysicalService,Realization,Realises,From,,Realises Physical Service,1,1,1,1,DAF,0,,,,1,0
Component,dPhysicalService,,,,Activity,dBusinessService,Realization,Realises,to,,Realises Business Service,1,1,1,1,DAF,0,,,,1,0
Component,dPhysicalService,,,,Class,dController,Association,IsHostedIn,from,,Is Hosted by Physical Service,1,1,1,1,DAF,0,,,,1,0
Class,dController,,,,Component,dPhysicalService,Association,IsHostedIn,to,,Is Hosted by dController,1,1,1,1,DAF,0,,,,1,0
Class,dDataEntity,Activity,dActivity,,,,Association,UsedBy,to,Used by Activity,,1,,1,1,DAF,0,,,1,,
Activity,dActivity,Activity,dBusinessProcess,,,,Aggregation,PartOf,to,Part of Business Process,,1,,1,1,DAF,0,,,1,,
Activity,dBusinessService,Activity,dBusinessProcess,,,,Aggregation,Orchestrates,to,Orchestrates Business Process,,1,,1,1,DAF,0,,,1,,
Actor,dRole,Activity,dBusinessProcess,,,,Association,CarriesOut,to,Carries out process,,1,,1,1,DAF,0,,,1,,
Actor,dRole,Activity,dBusinessService,,,,Association,Consumes,to,Consumes Business Service,,1,,1,1,DAF,0,,,1,,
Actor,dRole,Actor,dOrganizationUnit,,,,Aggregation,AreOrganizedWithin,to,Part of Organization,,1,,1,1,DAF,0,,,1,,
Actor,dActor,Actor,dRole,,,,Realization,IsPerformedBy,to,Preforms Role,,1,,1,1,DAF,0,,,1,,
Activity,dBusinessProcess,Class,dCapability,,,,Aggregation,Ensuresoperationof,to,Ensures operation of Capability,,1,,1,1,DAF,0,,,1,,
Activity,dInitiative,Class,dCapability,,,,Realization,IncreasesMaturityOf,to,Increase Maturity of Capability,,1,,1,1,DAF,0,,,1,,
Actor,dRole,Class,dCapability,,,,Aggregation,Executes,to,Executes Capability,,1,,1,1,DAF,0,,,1,,
Class,dLocation,Class,dCapability,,,,Aggregation,Supports,to,Supports capability,,1,,1,1,DAF,0,,,1,,
Component,dLogicalAppComponent,Class,dCapability,,,,Aggregation,Supports,to,Supports Capability,,1,,1,1,DAF,0,,,1,,
Activity,dInitiative,Class,dDecision,,,,Association,IsMakingUseOf,to,Making use of Decision,,1,,1,1,DAF,0,,,1,,
Class,dCapability,Class,dGoal,,,,Realization,IsOperationalizedBy,to,Operationalizes Goal,,1,,1,1,DAF,0,,,1,,
Class,dRequirement,Class,dGoal,,,,Association,isDetailedBy,to,Details Goal,,1,,1,1,DAF,0,,,1,,
Node,dDeploymentNode,Class,dLocation,,,,Aggregation,Hostedin,to,Hosted in Location,,1,,1,1,DAF,0,,,1,,
Class,dMeasurementCategory,Class,dMeasurementArea,,,,Aggregation,Partof,to,Part of Measurement Area,,1,,1,1,DAF,0,,,1,,
Class,dMeasurementGrouping,Class,dMeasurementCategory,,,,Aggregation,Partof,to,Part of Measurement Category,,1,,1,1,DAF,0,,,1,,
Class,dMeasurementIndicator,Class,dMeasurementGrouping,,,,Aggregation,Partof,to,Part of Measurement Group,,1,,1,1,DAF,0,,,1,,
Class,dCapability,Class,dMeasurementIndicator,,,,Dependency,MeasuredBy,to,Measured by indicator,,1,,1,1,DAF,0,,,1,,
Component,dApplicationComponent,Class,dDeploymentNode,,,,Aggregation,Hosts,to,Hosted in Node,,1,,1,1,DAF,0,,,1,,
Class,dDecision,Class,dPrinciple,,,,Association,RefersTo,to,Refers to Principle,,1,,1,1,DAF,0,,,1,,
Class,dAssumption,Class,dRequirement,,,,Association,ImprovesQualityof,to,Improves Quality of Requirement,,1,,1,1,DAF,0,,,1,,
Class,dFeature,Class,dRequirement,,,,Realization,IsSatisfiedBy,to,Satisifed by Requirement,,1,,1,1,DAF,0,,,1,,
Class,dIssue,Class,dRequirement,,,,Association,Stops,to,Stops Requirement,,1,,1,1,DAF,0,,,1,,
Class,dController,Class,dView,,,,Association,Governs,to,Governs View,,1,,1,1,DAF,0,,,1,,
Component,dApplicationComponent,Component,dApplicationComponent,,,,Aggregation,Partof,to,Part of Application Component,,1,,1,1,DAF,0,,,1,,
Activity,dBusinessService,Component,dLogicalAppComponent,,,,Association,Runson,to,Runs on Component,,1,,1,1,DAF,0,,,1,,
Component,dApplicationComponent,Component,dLogicalAppComponent,,,,Realization,Realises,to,Realises Logical Application Component,,1,,1,1,DAF,0,,,1,,
Activity,dInitiative,Package,dGrowthPackage,,,,Aggregation,Creates,to,Create Growth Package,,1,,1,1,DAF,0,,,1,,
Actor,dActor,UseCase,dBusinessUseCase,,,,Association,Participatesin,to,Participates in Use Case,,1,,1,1,DAF,0,,,1,,
Class,dController,UseCase,dBusinessUseCase,,,,Realization,IsImplementedBy,to,Implements Use Case,,1,,1,1,DAF,0,,,1,,
UseCase,dBusinessUseCase,Activity,dBusinessService,,,,Realization,IsDescribedBy,to,Describes Business Service,,1,,1,1,DAF,0,,,1,,
Activity,dActivity,Class,dDataEntity,,,,Association,UsedBy,from,Uses Data Entity,,1,,1,1,DAF,0,,,1,,
Activity,dBusinessProcess,Activity,dActivity,,,,Aggregation,PartOf,from,Part of Activity,,1,,1,1,DAF,0,,,1,,
Activity,dBusinessProcess,Activity,dBusinessService,,,,Aggregation,Orchestrates,from,Part of Business Service,,1,,1,1,DAF,0,,,1,,
Activity,dBusinessProcess,Actor,dRole,,,,Association,CarriesOut,from,Provides Role,,1,,1,1,DAF,0,,,1,,
Activity,dBusinessService,Actor,dRole,,,,Association,Consumes,from,Provides Role,,1,,1,1,DAF,0,,,1,,
Actor,dOrganizationUnit,Actor,dRole,,,,Aggregation,AreOrganizedWithin,from,Uses Role,,1,,1,1,DAF,0,,,1,,
Actor,dRole,Actor,dActor,,,,Realization,IsPerformedBy,from,Create Actor,,1,,1,1,DAF,0,,,1,,
Class,dCapability,Activity,dBusinessProcess,,,,Aggregation,Ensuresoperationof,from,Has Process,,1,,1,1,DAF,0,,,1,,
Class,dCapability,Activity,dInitiative,,,,Realization,IncreasesMaturityOf,from,Uses Initiative,,1,,1,1,DAF,0,,,1,,
Class,dCapability,Actor,dRole,,,,Aggregation,Executes,from,Uses Role,,1,,1,1,DAF,0,,,1,,
Class,dCapability,Class,dLocation,,,,Aggregation,Supports,from,Part of Location,,1,,1,1,DAF,0,,,1,,
Class,dCapability,Component,dLogicalAppComponent,,,,Aggregation,Supports,from,Part of Application Component,,1,,1,1,DAF,0,,,1,,
Class,dDecision,Activity,dInitiative,,,,Association,IsMakingUseOf,from,Make use of Initiative,,1,,1,1,DAF,0,,,1,,
Class,dGoal,Class,dCapability,,,,Realization,IsOperationalizedBy,from,Realizes Goal,,1,,1,1,DAF,0,,,1,,
Class,dGoal,Class,dRequirement,,,,Association,isDetailedBy,from,Used by Requirement,,1,,1,1,DAF,0,,,1,,
Class,dLocation,Class,dDeploymentNode,,,,Aggregation,Hostedin,from,Hosted in Node,,1,,1,1,DAF,0,,,1,,
Class,dMeasurementArea,Class,dMeasurementCategory,,,,Aggregation,Partof,from,Has Measurement Category,,1,,1,1,DAF,0,,,1,,
Class,dMeasurementCategory,Class,dMeasurementGrouping,,,,Aggregation,Partof,from,Hase Measurement Grouping,,1,,1,1,DAF,0,,,1,,
Class,dMeasurementGrouping,Class,dMeasurementIndicator,,,,Aggregation,Partof,from,Has Measurement Indicator,,1,,1,1,DAF,0,,,1,,
Class,dMeasurementIndicator,Class,dCapability,,,,Dependency,MeasuredBy,from,Measures Capability,,1,,1,1,DAF,0,,,1,,
Node,dDeploymentNode,Component,dApplicationComponent,,,,Aggregation,Hosts,from,Hosts Application Component,,1,,1,1,DAF,0,,,1,,
Class,dPrinciple,Class,dDecision,,,,Association,RefersTo,from,Used for Decision,,1,,1,1,DAF,0,,,1,,
Class,dRequirement,Class,dAssumption,,,,Association,ImprovesQualityof,from,Has Assumption,,1,,1,1,DAF,0,,,1,,
Class,dRequirement,Class,dFeature,,,,Realization,IsSatisfiedBy,from,Achieve Feature,,1,,1,1,DAF,0,,,1,,
Class,dRequirement,Class,dIssue,,,,Association,Stops,from,Has Issue,,1,,1,1,DAF,0,,,1,,
Class,dView,Class,dController,,,,Association,Governs,from,Controlled by Controller,,1,,1,1,DAF,0,,,1,,
Component,dApplicationComponent,Component,dApplicationComponent,,,,Aggregation,Partof,from,Has Application Component,,1,,1,1,DAF,0,,,1,,
Component,dLogicalAppComponent,Activity,dBusinessService,,,,Association,Runson,from,Helps Business Service,,1,,1,1,DAF,0,,,1,,
Component,dLogicalAppComponent,Component,dApplicationComponent,,,,Realization,Realises,from,Achieves Application Component,,1,,1,1,DAF,0,,,1,,
Component,dLogicalAppComponent,Component,dLogicalAppComponent,,,,Realization,Realises,from,Achieves Logical Application Component,,1,,1,1,DAF,0,,,1,,
Package,dGrowthPackage,Activity,dInitiative,,,,Aggregation,Creates,from,Has Initiative,,1,,1,1,DAF,0,,,1,,
Package,dGrowthPackage,Package,dProgram,,,,Aggregation,Creates,from,Has Program,,1,,1,1,DAF,0,,,1,,
UseCase,dBusinessUseCase,Actor,dActor,,,,Association,Participatesin,from,Used by Actor,,1,,1,1,DAF,0,,,1,,
UseCase,dBusinessUseCase,Class,dController,,,,Realization,IsImplementedBy,from,Used by Controller,,1,,1,1,DAF,0,,,1,,
Activity,dBusinessService,UseCase,dBusinessUseCase,,,,Realization,IsDescribedBy,from,Used by Business Use Case,,1,,1,1,DAF,0,,,1,,
Class,dModelClass,Class,dDataEntity,,,,Realization,IsFunctionallyImplementedBy,from,Functionally Implemented By,,1,,1,1,DAF,0,,,1,,
Class,dModelClass,Class,dTable,,,,Association,ProvidesPersistenceTo,to,Provides Persistence To,,1,,1,1,DAF,0,,,1,,
Class,dModelClass,Class,dController,,,,Association,Controlls,from,Controls Model Class,,1,,1,1,DAF,0,,,1,,
Class,dDataEntity,Class,dModelClass,,,,Realization,IsFunctionallyImplementedBy,from,Functionally Implemented By,,1,,1,1,DAF,0,,,1,,
Class,dTable,Class,dModelClass,,,,Association,ProvidesPersistenceFor,to,Provides Persistence For,,1,,1,1,DAF,0,,,1,,
Class,dTable,Class,dDataEntity,,,,Realization,Realises,to,Realizes Data Entity,,1,,1,1,DAF,0,,,1,,
Class,dDataEntity,Class,dTable,,,,Realization,IsFunctionallyImplementedBy,from,Implemented by Table,,1,,1,1,DAF,0,,,1,,
Class,dController,Class,dModelClass,,,,Association,Controlls,to,Controls Model Class,,1,,1,1,DAF,0,,,1,,
Component,dApplicationComponent,Component,dPhysicalService,,,,Association,ExposesOrConsumes,to,Consumes Physical service,,1,,1,1,DAF,0,,,1,,
Component,dPhysicalService,Component,dApplicationComponent,,,,Association,ExposesOrConsumes,to,Exposes Aplication Component,,1,,1,1,DAF,0,,,1,,
Activity,dBusinessService,Component,dPhysicalService,,,,Realization,Realises,From,Realises Physical Service,,1,,1,1,DAF,0,,,1,,
Component,dPhysicalService,Activity,dBusinessService,,,,Realization,Realises,to,Realises Business Service,,1,,1,1,DAF,0,,,1,,
Component,dPhysicalService,Class,dController,,,,Association,IsHostedIn,from,Is Hosted by Physical Service,,1,,1,1,DAF,0,,,1,,
Class,dController,Component,dPhysicalService,,,,Association,IsHostedIn,to,Is Hosted by dController,,1,,1,1,DAF,0,,,1,,
Class,dDataEntity,Class,dDataEntity,,,,Composition,ComposedDataEntity,to,Composes DataEntity,,1,,0,1,DAF,0,,,1,,
Activity,dActivity,Activity,dActivity,,,,Composition,ComposedActivity,to,Composes Activity,,1,,0,1,DAF,0,,,1,,
Activity,dBusinessService,Activity,dBusinessService,,,,Composition,ComposedBusinessService,to,Composes BusinessService,,1,,0,1,DAF,0,,,1,,
Actor,dRole,Actor,dRole,,,,Composition,ComposedRole,to,Composes Role,,1,,0,1,DAF,0,,,1,,
Actor,dActor,Actor,dActor,,,,Composition,ComposedActor,to,Composes Actor,,1,,0,1,DAF,0,,,1,,
Activity,dBusinessProcess,Activity,dBusinessProcess,,,,Composition,ComposedBusinessProcess,to,Composes BusinessProcess,,1,,0,1,DAF,0,,,1,,
Activity,dInitiative,Activity,dInitiative,,,,Composition,ComposedInitiative,to,Composes Initiative,,1,,0,1,DAF,0,,,1,,
Class,dLocation,Class,dLocation,,,,Composition,ComposedLocation,to,Composes Location,,1,,0,1,DAF,0,,,1,,
Component,dLogicalAppComponent,Component,dLogicalAppComponent,,,,Composition,ComposedLogicalAppComponent,to,Composes LogicalAppComponent,,1,,0,1,DAF,0,,,1,,
Class,dCapability,Class,dCapability,,,,Composition,ComposedCapability,to,Composes Capability,,1,,0,1,DAF,0,,,1,,
Class,dRequirement,Class,dRequirement,,,,Composition,ComposedRequirement,to,Composes Requirement,,1,,0,1,DAF,0,,,1,,
Node,dDeploymentNode,Class,dDeploymentNode,,,,Composition,ComposedDeploymentNode,to,Composes Node,,1,,0,1,DAF,0,,,1,,
Class,dMeasurementCategory,Class,dMeasurementCategory,,,,Composition,ComposedMeasurementCategory,to,Composes MeasurementCategory,,1,,0,1,DAF,0,,,1,,
Class,dMeasurementGrouping,Class,dMeasurementGrouping,,,,Composition,ComposedMeasurementGrouping,to,Composes MeasurementGrouping,,1,,0,1,DAF,0,,,1,,
Class,dMeasurementIndicator,Class,dMeasurementIndicator,,,,Composition,ComposedMeasurementIndicator,to,Composes MeasurementIndicator,,1,,0,1,DAF,0,,,1,,
Component,dApplicationComponent,Component,dApplicationComponent,,,,Composition,ComposedApplicationComponent,to,Composes ApplicationComponent,,1,,0,1,DAF,0,,,1,,
Class,dDecision,Class,dDecision,,,,Composition,ComposedDecision,to,Composes Decision,,1,,0,1,DAF,0,,,1,,
Class,dAssumption,Class,dAssumption,,,,Composition,ComposedAssumption,to,Composes Assumption,,1,,0,1,DAF,0,,,1,,
Class,dFeature,Class,dFeature,,,,Composition,ComposedFeature,to,Composes Feature,,1,,0,1,DAF,0,,,1,,
Class,dIssue,Class,dIssue,,,,Composition,ComposedIssue,to,Composes Issue,,1,,0,1,DAF,0,,,1,,
Class,dController,Class,dController,,,,Composition,ComposedController,to,Composes Controller,,1,,0,1,DAF,0,,,1,,
UseCase,dBusinessUseCase,UseCase,dBusinessUseCase,,,,Composition,ComposedBusinessUseCase,to,Composes BusinessUseCase,,1,,0,1,DAF,0,,,1,,
Actor,dOrganizationUnit,Actor,dOrganizationUnit,,,,Composition,ComposedOrganizationUnit,to,Composes OrganizationUnit,,1,,0,1,DAF,0,,,1,,
Class,dGoal,Class,dGoal,,,,Composition,ComposedGoal,to,Composes Goal,,1,,0,1,DAF,0,,,1,,
Class,dMeasurementArea,Class,dMeasurementArea,,,,Composition,ComposedMeasurementArea,to,Composes MeasurementArea,,1,,0,1,DAF,0,,,1,,
Class,dPrinciple,Class,dPrinciple,,,,Composition,ComposedPrinciple,to,Composes Principle,,1,,0,1,DAF,0,,,1,,
Class,dView,Class,dView,,,,Composition,ComposedView,to,Composes View,,1,,0,1,DAF,0,,,1,,
Package,dGrowthPackage,Package,dGrowthPackage,,,,Composition,ComposedGrowthPackage,to,Composes GrowthPackage,,1,,0,1,DAF,0,,,1,,
Class,dModelClass,Class,dModelClass,,,,Composition,ComposedModelClass,to,Composes ModelClass,,1,,0,1,DAF,0,,,1,,
Class,dTable,Class,dTable,,,,Composition,ComposedTable,to,Composes Table,,1,,0,1,DAF,0,,,1,,
Component,dPhysicalService,Component,dPhysicalService,,,,Composition,ComposedPhysicalService,to,Composes PhysicalService,,1,,0,1,DAF,0,,,1,,
